Year,Fossil fuel rents (% of GDP),Fossil fuel rents (current INR),Fossil fuel rents (current INR in crores),Fossil fuel rents (current INR per capita),Fossil fuel rents (2021 INR per capita),Fossil fuel rents (% of total natural resource rents)
1971,0.3111306795,1569931931,156.99,2.75,111.62,34.96
1972,0.3207380434,1740725435,174.07,2.99,114.02,36.74
1973,0.3303455187,2187093849,218.71,3.67,119.67,33.2
1974,0.9051472731,7298377568,729.84,11.97,303.52,55.42
1975,1.724254832,14221610794,1422.16,22.81,546.94,55.17
1976,1.853819436,17062335113,1706.23,26.77,694.95,61.62
1977,1.758572032,18669461816,1866.95,28.65,686.7,44.21
1978,1.521775321,17118137094,1711.81,25.69,600.6,44.74
1979,2.331817998,28988652911,2898.87,42.55,936.03,70.71
1980,1.915814414,28067943401,2806.79,40.28,795.8,66.62
1981,3.044575688,51007081464,5100.71,71.55,1249.72,77.98
1982,2.924115562,55493519512,5549.35,76.11,1232.14,71.17
1983,2.707893578,59687620140,5968.76,80.03,1158.15,77.41
1984,2.609822719,62914098906,6291.41,82.47,1101.8,78.34
1985,2.904659676,83534564135,8353.46,107.06,1355.04,83.7
1986,1.602757517,50325317817,5032.53,63.07,734.17,67.39
1987,1.525890243,55186777819,5518.68,67.65,723.79,70.58
1988,1.363549976,56282621812,5628.26,67.51,660.33,66.13
1989,2.066761664,99275557883,9927.56,116.52,1064.4,72.99
1990,2.556381907,143624089841,14362.41,165,1383.17,75.22
1991,2.222842398,136545934951,13654.59,153.61,1130.84,71.7
1992,1.862390576,139117039684,13911.7,153.28,1009.42,66.58
1993,1.542448989,131365060350,13136.51,141.81,878.32,63.17
1994,1.449479109,148830483919,14883.05,157.45,884.54,68.71
1995,1.81909774,212523197101,21252.32,220.4,1123.33,71.96
1996,1.832451445,255106366681,25510.64,259.44,1213.38,73.74
1997,1.604122857,242247008153,24224.7,241.68,1054.75,72.71
1998,1.063551138,184895115124,18489.51,181.02,697.7,59.46
1999,1.19768117,236598437026,23659.84,227.39,837.33,64.74
2000,1.867485852,393113620025,39311.36,370.99,1313.45,75.66
2001,1.826813521,418453938174,41845.39,387.83,1323.07,74.99
2002,1.69608926,424553157783,42455.32,386.55,1264.37,72.44
2003,1.646639171,466140965536,46614.1,417.16,1314.46,73.95
2004,2.622173609,842664465032,84266.45,741.61,2251.96,82.74
2005,2.606830961,943120364452,94312.04,816.81,2379.28,71.25
2006,2.632827872,1121594220741,112159.42,956.69,2634.05,66.93
2007,2.440030528,1227584872135,122758.49,1031.85,2670.78,54.93
2008,4.53028246,2362912521994,236291.25,1958.1,4677.69,63.72
2009,2.166809975,1407437960260,140743.8,1150.21,2478.06,64.44
2010,2.607800034,1998066970409,199806.7,1610.55,3098.36,57.98
2011,3.529677346,3003140935924,300314.09,2387.95,4218.01,66.53
2012,2.948653518,2879770339699,287977.03,2259.55,3645.64,73.28
2013,2.499461014,2719411480172,271941.15,2106.22,3088.81,68.05
2014,2.012263772,2504201050175,250420.11,1915.63,2633.75,71.52
2015,1.196729858,1614977950634,161497.8,1220.82,1599.97,67.32
2016,1.093754411,1686565671689,168656.57,1259.91,1573.34,62.56
2017,1.319350108,2278096466220,227809.65,1682.25,2033.09,66.5
2018,1.674196295,3094784046464,309478.4,2260.61,2628.53,74.23
2019,1.20690535,2406555651349,240655.57,1739.96,1950.4,59.98
2020,0.9117867339,1802370066173,180237.01,1290.74,1356.97,51.09
2021,1.683395602,3952367423379,395236.74,2807.95,2807.95,53.28
