Year,% of GDP,% of total mining rents,Current INR,Current INR in crores,Current INR per capita,2021 INR per capita
1971,0.008992619618,1.64,45375790.99,4.54,0.08,3.25
1972,0.007567104626,1.4,41068565.97,4.11,0.07,2.67
1973,0.006534804364,1.26,43264490.11,4.33,0.07,2.28
1974,0.008236819233,0.72,66415066.93,6.64,0.11,2.79
1975,0.01427273706,0.69,117721178.8,11.77,0.19,4.56
1976,0.0190834898,0.82,175642185.9,17.56,0.28,7.27
1977,0.01964611978,0.91,208568359,20.86,0.32,7.67
1978,0.01385450982,0.78,155846526.8,15.58,0.23,5.38
1979,0.009739946967,0.37,121084896.9,12.11,0.18,3.96
1980,0.01049375611,0.47,153740440.9,15.37,0.22,4.35
1981,0.001826799589,0.05,30605156.52,3.06,0.04,0.7
1982,0,0,0,0,0,0
1983,0.00919171338,0.31,202604526.7,20.26,0.27,3.91
1984,0.003644680909,0.13,87861069.46,8.79,0.12,1.6
1985,0.00413947241,0.13,119046312.5,11.9,0.15,1.9
1986,0.02076570112,1.13,652026583.8,65.2,0.82,9.55
1987,0.0229408449,1.34,829700115.4,82.97,1.02,10.91
1988,0.02142642412,1.32,884408600.2,88.44,1.06,10.37
1989,0.04292174116,1.8,2061718036,206.17,2.42,22.11
1990,0.05895994482,2.06,3312520867,331.25,3.81,31.94
1991,0.05665414374,2.29,3480180616,348.02,3.91,28.78
1992,0.0605820955,2.77,4525367499,452.54,4.99,32.86
1993,0.07083832025,3.89,6033055407,603.31,6.51,40.32
1994,0.07847616397,4.73,8057822559,805.78,8.52,47.86
1995,0.08949941544,4.39,10456118706,1045.61,10.84,55.25
1996,0.0972584774,4.71,13539925909,1353.99,13.77,64.4
1997,0.08926823726,4.89,13480864823,1348.09,13.45,58.7
1998,0.1046936676,7.34,18200674165,1820.07,17.82,68.68
1999,0.1214318102,8.29,23988501454,2398.85,23.05,84.88
2000,0.1749082878,8.22,36818929649,3681.89,34.75,123.03
2001,0.1530246045,7.26,35052153731,3505.22,32.49,110.84
2002,0.2285757276,11.6,57215471627,5721.55,52.09,170.38
2003,0.2125333498,11.26,60165276428,6016.53,53.84,169.65
2004,0.2038894361,6.97,65522123338,6552.21,57.66,175.09
2005,0.220626603,6.4,79820074780,7982.01,69.13,201.37
2006,0.1986106576,5.44,84608860323,8460.89,72.17,198.71
2007,0.09888125694,2.39,49747383801,4974.74,41.82,108.24
2008,0.1008247364,1.48,52588339522,5258.83,43.58,104.11
2009,0.1398846004,4.51,90861173295,9086.12,74.25,159.97
2010,0.1580534696,3.84,121098785614,12109.88,97.61,187.78
2011,0.1714103389,3.46,145840357370,14584.04,115.97,204.85
2012,0.150297037,4.05,146785964103,14678.6,115.17,185.82
2013,0.09350650658,2.76,101735000478,10173.5,78.8,115.56
2014,0.08446385471,3.31,105112697768,10511.27,80.41,110.55
2015,0.06891963439,4.65,93006528755,9300.65,70.31,92.15
2016,0.06076164302,4.19,93694251885,9369.43,69.99,87.4
2017,0.0616444208,3.47,106440236270,10644.02,78.6,94.99
2018,0.06602389126,3.13,122046432678,12204.64,89.15,103.66
2019,0.07022568644,3.78,140029226434,14002.92,101.24,113.48
2020,0.06751429308,4.22,133458556004,13345.86,95.57,100.47
2021,0.07749370917,2.58,181943930058,18194.39,129.26,129.26
