Year,% of GDP,% of total mining rents,Current INR,Current INR in crores,Current INR per capita,2021 INR per capita
1971,0.08721823281,15.89,440093818.1,44.01,0.77,31.25
1972,0.07842050653,14.47,425607666.9,42.56,0.73,27.84
1973,0.07742703598,14.9,512615381.5,51.26,0.86,28.04
1974,0.4269307782,37.35,3442425457,344.24,5.65,143.26
1975,0.5348834111,26.02,4411705017,441.17,7.08,169.76
1976,0.6132694591,26.33,5644459662,564.45,8.85,229.74
1977,0.6779708253,31.32,7197516054,719.75,11.04,264.61
1978,0.6750791335,37.87,7593826101,759.38,11.4,266.52
1979,1.566389692,59.72,19473015101,1947.3,28.58,628.71
1980,0.9854728234,44.57,14437826140,1443.78,20.72,409.36
1981,1.605864154,48.16,26903730478,2690.37,37.74,659.18
1982,1.3623947,41.61,25855365587,2585.54,35.46,574.06
1983,1.722101137,58.15,37958699470,3795.87,50.89,736.45
1984,1.727946496,60.32,41655012022,4165.5,54.6,729.46
1985,2.021712477,64.06,58142050847,5814.21,74.52,943.18
1986,0.9070338657,49.21,28480145675,2848.01,35.69,415.45
1987,1.088448503,63.37,39365849518,3936.58,48.26,516.33
1988,0.8164410069,50.45,33699857891,3369.99,40.42,395.35
1989,1.330740205,55.72,63921243859,6392.12,75.02,685.3
1990,1.729364462,60.44,97160129380,9716.01,111.62,935.7
1991,1.191952756,48.14,73219902404,7321.99,82.37,606.39
1992,0.9613076585,43.96,71807856722,7180.79,79.12,521.04
1993,0.8595599532,47.19,73205756512,7320.58,79.03,489.48
1994,0.797027749,48.02,81837692506,8183.77,86.58,486.4
1995,0.8658335209,42.48,101154382179,10115.44,104.9,534.65
1996,0.9607644496,46.5,133753682046,13375.37,136.03,636.2
1997,0.8509950973,46.57,128513234096,12851.32,128.21,559.54
1998,0.4297366935,30.13,74708410905,7470.84,73.14,281.9
1999,0.7084303907,48.37,139948366371,13994.84,134.5,495.27
2000,1.198808969,56.31,252354326098,25235.43,238.15,843.14
2001,0.8698711972,41.27,199254616812,19925.46,184.67,629.99
2002,0.8985159237,45.62,224910198859,22491.02,204.78,669.82
2003,0.8603633593,45.58,243557067148,24355.71,217.96,686.79
2004,1.060431238,36.24,340781296428,34078.13,299.91,910.7
2005,1.287808372,37.36,465913716364,46591.37,403.51,1175.38
2006,1.331468219,36.46,567210289479,56721.03,483.81,1332.07
2007,1.152146972,27.83,579647745265,57964.77,487.23,1261.12
2008,1.584982711,23.27,826698010074,82669.8,685.07,1636.56
2009,0.6387931876,20.59,414924147128,41492.41,339.09,730.55
2010,0.8157472274,19.8,625016324217,62501.63,503.8,969.2
2011,1.348527058,27.22,1147361759371,114736.18,912.33,1611.51
2012,1.313872082,35.37,1283178857648,128317.89,1006.82,1624.44
2013,1.193354156,35.17,1298368317310,129836.83,1005.6,1474.73
2014,0.9451929232,37.09,1176263839848,117626.38,899.8,1237.11
2015,0.3599407089,24.28,485737282021,48573.73,367.19,481.23
2016,0.2202979777,15.19,339698750558,33969.88,253.76,316.89
2017,0.3132252263,17.63,540839976408,54084,399.38,482.67
2018,0.4466295947,21.2,825603394775,82560.34,603.07,701.22
2019,0.3050283158,16.43,608223020222,60822.3,439.75,492.94
2020,0.1443438685,9.03,285331051904,28533.11,204.34,214.83
2021,0.3256101941,10.86,764485259688,76448.53,543.13,543.13
