Year,% of GDP,Current INR,Current INR in crores,Current INR per capita,2021 INR per capita
1971,0.8900639616,4491166979,449.12,7.88,319.84
1972,0.8730930642,4738494031,473.85,8.13,310.01
1973,0.9951272389,6588364423,658.84,11.05,360.32
1974,1.633220387,13168971932,1316.9,21.6,547.7
1975,3.125306763,25777452136,2577.75,41.34,991.25
1976,3.008457275,27689485398,2768.95,43.44,1127.7
1977,3.977991595,42231401858,4223.14,64.8,1553.17
1978,3.401675432,38264746170,3826.47,57.43,1342.65
1979,3.297741747,40996806335,4099.68,60.18,1323.86
1980,2.875928215,42134243153,4213.42,60.47,1194.69
1981,3.904435399,65412679759,6541.27,91.76,1602.71
1982,4.108599688,77972519252,7797.25,106.93,1731.08
1983,3.498193586,77107480012,7710.75,103.39,1496.2
1984,3.331283729,80306111400,8030.61,105.26,1406.28
1985,3.470229226,99799672984,9979.97,127.91,1618.93
1986,2.378270021,74675796800,7467.58,93.59,1089.44
1987,2.161850277,78187504925,7818.75,95.85,1025.5
1988,2.061855168,85106242315,8510.62,102.08,998.46
1989,2.83144585,136006667498,13600.67,159.63,1458.21
1990,3.398671231,190946063585,19094.61,219.36,1838.87
1991,3.100114018,190435438624,19043.54,214.23,1577.11
1992,2.797054779,208934680824,20893.47,230.21,1516.05
1993,2.441897232,207967964897,20796.8,224.5,1390.47
1994,2.109441499,216594497452,21659.45,229.14,1287.29
1995,2.527910515,295333017438,29533.3,306.27,1560.99
1996,2.48487037,345933450691,34593.35,351.82,1645.43
1997,2.206191105,333168492774,33316.85,332.39,1450.63
1998,1.788833284,310983199773,31098.32,304.46,1173.48
1999,1.850096417,365481174486,36548.12,351.26,1293.46
2000,2.468300541,519587636960,51958.76,490.35,1736.03
2001,2.436208764,558043357848,55804.34,517.2,1764.41
2002,2.341362712,586073478745,58607.35,533.61,1745.39
2003,2.22671509,630352502604,63035.25,564.12,1777.53
2004,3.169316756,1018494961665,101849.5,896.35,2721.84
2005,3.658743604,1323689818245,132368.98,1146.41,3339.37
2006,3.933685845,1675764434100,167576.44,1429.38,3935.51
2007,4.442284878,2234923560195,223492.36,1878.57,4862.39
2008,7.109348324,3708106133891,370810.61,3072.84,7340.68
2009,3.36239161,2184020584661,218402.06,1784.86,3845.37
2010,4.497518643,3445948053547,344594.81,2777.62,5343.55
2011,5.305075671,4513695829295,451369.58,3589.07,6339.63
2012,4.023837693,3929837253456,392983.73,3083.47,4974.98
2013,3.673088334,3996317016948,399631.7,3095.2,4539.17
2014,2.813689851,3501551426608,350155.14,2678.57,3682.7
2015,1.777640024,2398911855737,239891.19,1813.42,2376.61
2016,1.748390235,2696011940496,269601.19,2014,2515.03
2017,1.983934016,3425620724188,342562.07,2529.63,3057.19
2018,2.255316321,4168995590901,416899.56,3045.28,3540.91
2019,2.012245384,4012394592580,401239.46,2900.99,3251.86
2020,1.784669207,3527836320708,352783.63,2526.4,2656.04
2021,3.159345376,7417682288938,741768.23,5269.87,5269.87
