Year,% of GDP,% of total mining rents,Current INR,Current INR in crores,Current INR per capita,2021 INR per capita
1971,0.2149198271,39.16,1084462322,108.45,1.9,77.12
1972,0.2347504322,43.32,1274049202,127.4,2.19,83.51
1973,0.2463836784,47.42,1631213977,163.12,2.74,89.35
1974,0.4699796756,41.12,3789537044,378.95,6.22,157.72
1975,1.175098684,57.17,9692184598,969.22,15.54,372.62
1976,1.221466487,52.45,11242233266,1124.22,17.64,457.93
1977,1.060955087,49.01,11263377403,1126.34,17.28,414.18
1978,0.8328416781,46.72,9368464466,936.85,14.06,328.71
1979,0.7556883598,28.81,9394552913,939.46,13.79,303.36
1980,0.9198478348,41.6,13476376820,1347.64,19.34,382.09
1981,1.436884734,43.09,24072745830,2407.27,33.77,589.84
1982,1.561720862,47.7,29638153925,2963.82,40.65,658.08
1983,0.9766007274,32.98,21526316143,2152.63,28.86,417.65
1984,0.8782315423,30.66,21171225815,2117.12,27.75,370.74
1985,0.8788077266,27.85,25273466976,2527.35,32.39,409.95
1986,0.67495795,36.62,21193145558,2119.31,26.56,309.17
1987,0.4145008954,24.13,14991228185,1499.12,18.38,196.65
1988,0.5256825451,32.48,21698355321,2169.84,26.03,254.6
1989,0.6930997169,29.02,33292595988,3329.26,39.08,356.99
1990,0.7680575005,26.84,43151439594,4315.14,49.57,415.54
1991,0.9742354986,39.35,59845851931,5984.59,67.32,495.6
1992,0.8405008225,38.44,62783815463,6278.38,69.18,455.58
1993,0.6120507157,33.6,52126248430,5212.62,56.27,348.52
1994,0.5739751956,34.58,58934968854,5893.5,62.35,350.28
1995,0.8637648037,42.38,100912696216,10091.27,104.65,533.38
1996,0.7744285182,37.48,107812758727,10781.28,109.65,512.82
1997,0.6638595227,36.33,100252909235,10025.29,100.02,436.51
1998,0.5291207767,37.1,91986030055,9198.6,90.06,347.12
1999,0.3678189692,25.11,72661569201,7266.16,69.83,257.14
2000,0.4937685947,23.19,103940364279,10394.04,98.09,347.28
2001,0.8039177196,38.14,184147167631,18414.72,170.67,582.23
2002,0.5689976087,28.89,142427487297,14242.75,129.68,424.17
2003,0.5737424614,30.4,162418621960,16241.86,145.35,458
2004,1.357852935,46.4,436361045266,43636.1,384.03,1166.14
2005,1.098395986,31.87,397386573308,39738.66,344.17,1002.53
2006,1.102748996,30.2,469775070938,46977.51,400.7,1103.25
2007,1.189002299,28.72,598189743069,59818.97,502.81,1301.45
2008,2.844475013,41.77,1483626172398,148362.62,1229.46,2937.05
2009,1.388132187,44.73,901652639837,90165.26,736.86,1587.52
2010,1.633999337,39.65,1251951860579,125195.19,1009.14,1941.37
2011,2.00973995,40.57,1709938819183,170993.88,1359.66,2401.67
2012,1.484484398,39.97,1449805517947,144980.55,1137.56,1835.38
2013,1.212600352,35.73,1319308162383,131930.82,1021.82,1498.52
2014,0.9826069938,38.55,1222824512558,122282.45,935.42,1286.09
2015,0.7678695143,51.79,1036234139858,103623.41,783.32,1026.59
2016,0.8126947901,56.03,1253172669245,125317.27,936.16,1169.05
2017,0.9444804606,53.15,1630816253542,163081.63,1204.27,1455.42
2018,1.161542809,55.14,2147134219010,214713.42,1568.39,1823.65
2019,0.8316513479,44.8,1658303404693,165830.34,1198.97,1343.98
2020,0.6999285723,43.79,1383580458266,138358.05,990.83,1041.67
2021,1.280291699,42.7,3005938233633,300593.82,2135.56,2135.56
